COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
11 BIT STUDIOS S.A.;11B PW Equity;0.7%;0.4%;0.5%;0.5%;0.3%;0.7%;;0.3%;0.1%;0.4%;0.7%;0.3%;4.9%
ATAL S.A.;1AT PW Equity;0.5%;0.0%;;0.4%;;0.2%;;;;0.6%;0.8%;0.7%;3.2%
Covestro AG;1COV GR Equity;;;0.4%;;;;;;;;;;0.4%
Apple Inc;AAPL US Equity;;;1.2%;;0.4%;;0.1%;;;;;;1.7%
AB S.A.;ABE PW Equity;;0.1%;;0.7%;;0.5%;;0.6%;0.9%;;0.7%;;3.4%
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;;;;0.3%;0.0%;;;0.4%;0.3%;;;;1.0%
Abbott Laboratories;ABT US Equity;;;0.4%;;;;;;;;;;0.4%
AC S.A.;ACG PW Equity;;0.0%;;;;;;;;;;;0.0%
ASSECO POLAND S.A.;ACP PW Equity;3.0%;0.6%;1.5%;0.8%;0.7%;0.9%;2.5%;0.9%;1.1%;;;0.9%;12.9%
Adobe Inc;ADBE US Equity;;;0.5%;;;;;;;;;;0.5%
Analog Devices, Inc.;ADI US Equity;;;0.4%;;;;;;;;;;0.4%
Adidas AG;ADS GR Equity;0.5%;;;;;;;;;;;;0.5%
AUTODESK INC;ADSK US Equity;;;;;0.1%;;;;;;;;0.1%
Agnico Eagle Mines Ltd;AEM CN Equity;;;;;;;0.4%;;;;;;0.4%
AGCO CORP;AGCO US Equity;;;;;0.4%;;;;;;;;0.4%
Agora S.A.;AGO PW Equity;;;;;;0.1%;;;0.0%;;;;0.1%
AIR LIQUIDE SA;AI FP Equity;;;;;0.3%;;;;;;;;0.3%
ALBEMARLE CORP;ALB US Equity;;;;;;;;;;;0.9%;;0.9%
ALLEGRO.EU SOCIETE ANONYME;ALE PW Equity;6.3%;4.7%;5.0%;3.5%;2.3%;5.3%;2.6%;5.8%;5.0%;1.3%;4.2%;3.5%;49.5%
ALFEN N.V.;ALFEN NA Equity;;;;;;;;;;;0.8%;;0.8%
AILLERON S.A.;ALL PW Equity;;0.1%;;;;;;;;;;;0.1%
ALIOR BANK S.A.;ALR PW Equity;1.5%;1.7%;2.0%;3.9%;1.3%;2.2%;2.9%;1.9%;2.4%;1.4%;1.2%;3.0%;25.5%
Allianz SE;ALV GR Equity;;;0.5%;;;;0.5%;;;;;;1.0%
Applied Materials Inc.;AMAT US Equity;;;;;;;0.0%;;;;0.0%;;0.0%
AMBRA S.A.;AMB PW Equity;;;;0.3%;;;;;0.1%;;;;0.4%
AMICA S.A.;AMC PW Equity;;0.0%;;;;;;0.0%;0.1%;0.0%;;;0.1%
ADVANCED MICRO DEVICES, INC.;AMD US Equity;;;0.5%;;0.8%;;0.5%;;;1.4%;1.5%;;4.7%
Amazon.com Inc.;AMZN US Equity;1.5%;;1.0%;;1.5%;;0.8%;;;0.5%;1.1%;;6.2%
ANDRITZ AG;ANDR AV Equity;;;;0.3%;;;;;;;;;0.3%
ANSWEAR.COM S.A.;ANR PW Equity;;0.2%;;;;;;;;;;;0.2%
AUTO PARTNER S.A.;APR PW Equity;0.4%;0.9%;1.3%;0.7%;1.7%;0.7%;;1.3%;0.4%;;;1.1%;8.5%
APATOR S.A.;APT PW Equity;;0.0%;;0.1%;;;;;0.1%;;;;0.2%
ARCHICOM S.A.;ARH PW Equity;;0.3%;;;;;;;;0.6%;;1.0%;1.9%
ASBISC ENTERPRISES PLC;ASB PW Equity;;0.7%;;;;;;0.1%;;;0.6%;;1.4%
ASSECO SOUTH EASTERN EUROPE S.A.;ASE PW Equity;;0.2%;0.4%;0.4%;0.3%;;;0.8%;0.1%;0.1%;;0.8%;3.0%
ASML Holding;ASML NA Equity;1.3%;;0.6%;;;;1.0%;;;;0.7%;;3.6%
ASTARTA HOLDING N.V.;AST PW Equity;;0.2%;;;;;;;;;;;0.2%
ARCTIC PAPER S.A.;ATC PW Equity;;0.3%;;0.1%;;;;;0.3%;;0.6%;;1.4%
ATENDE S.A.;ATD PW Equity;;0.1%;;;;;;;;;;;0.1%
ATM GRUPA S.A.;ATG PW Equity;;0.2%;;;;;;;0.5%;;;;0.7%
GRUPA AZOTY S.A.;ATT PW Equity;;0.2%;;0.2%;0.1%;0.0%;;;0.3%;;;;0.9%
Broadcom Inc.;AVGO US Equity;;;;;;;1.3%;;;;;;1.3%
Bank of America Corporation;BAC US Equity;;;0.7%;;0.3%;;0.3%;;;;;;1.2%
BOOMBIT S.A.;BBT PW Equity;;0.0%;;;;;;;;;;;0.0%
Banco Comercial Portugues S.A.;BCP PL Equity;;;;;;;0.5%;;;;;;0.5%
BUDIMEX S.A.;BDX PW Equity;;1.2%;1.4%;1.0%;2.4%;1.5%;1.2%;2.9%;1.6%;0.1%;;1.9%;15.2%
BLOOM ENERGY CORP;BE US Equity;;;;;;;;;;;0.7%;;0.7%
JUMBO SA;BELA GA Equity;;;;0.2%;;;;;;;;;0.2%
BENEFIT SYSTEMS S.A.;BFT PW Equity;3.0%;1.5%;0.5%;1.6%;2.3%;1.9%;3.4%;2.2%;1.7%;1.0%;2.1%;3.2%;24.5%
BHP Group Limited;BHP AU Equity;;;;;;;;;;0.8%;;;0.8%
BANK HANDLOWY W WARSZAWIE S.A.;BHW PW Equity;;0.9%;0.6%;1.6%;;0.8%;;2.0%;0.9%;0.0%;0.9%;;7.8%
BUMECH S.A.;BMC PW Equity;;0.0%;;;;;;;;;;;0.0%
BAYERISCHE MOTOREN WERKE AG;BMW GR Equity;;;;;0.1%;;;;;;;;0.1%
BNP PARIBAS S.A.;BNP FP Equity;;;;;0.3%;;0.0%;;;;;;0.3%
BNP PARIBAS BANK POLSKA S.A.;BNPPPL PW Equity;1.4%;;;0.1%;0.9%;;;0.1%;0.8%;0.3%;;0.3%;3.9%
Berkshire Hathaway Inc.;BRK/A US Equity;;;;;;;0.3%;;;;;;0.3%
CaixaBank SA;CABK SM Equity;;;;;;;1.0%;;;;;;1.0%
TOPGOLF CALLAWAY BRANDS CORP;CALY US Equity;;;;;0.1%;;;;;;;;0.1%
Capgemini SE;CAP FP Equity;;;0.4%;;;;;;;;;;0.4%
INTER CARS S.A.;CAR PW Equity;3.7%;1.8%;1.4%;1.6%;1.7%;1.9%;;2.2%;1.3%;1.3%;1.6%;1.1%;19.5%
CATERPILLAR INC;CAT US Equity;;;;;1.0%;;0.5%;;;;;;1.4%
CYBER_FOLKS S.A.;CBF PW Equity;2.0%;0.3%;1.1%;0.6%;0.5%;;1.3%;0.6%;;;0.5%;;6.8%
COMMERZBANK AG;CBK GR Equity;;;;;0.3%;;;;;;;;0.3%
CCC S.A.;CCC PW Equity;;;;;;0.7%;0.4%;1.0%;2.4%;;;0.7%;5.2%
CADENCE DESIGN SYSTEMS INC;CDNS US Equity;;;;;0.3%;;;;;;;;0.3%
CD PROJEKT S.A.;CDR PW Equity;;1.8%;1.1%;1.0%;1.3%;0.8%;2.8%;0.7%;2.7%;0.2%;0.9%;;13.5%
CLEAN HARBORS INC.;CLH US Equity;;;;;0.3%;;;;;;;;0.3%
CELON PHARMA S.A.;CLN PW Equity;;0.1%;;0.1%;;;;;;;;;0.2%
COMP S.A.;CMP PW Equity;;0.0%;;;;;;;;;;;0.0%
CONOCOPHILLIPS;COP US Equity;;;;;0.6%;;;;;;;;0.6%
CANADIAN PACIFIC KANSAS CITY LTD;CP CN Equity;;;;;0.3%;;;;;;;;0.3%
Compremum S.A.;CPR PW Equity;;;;;;;0.1%;;;;;;0.1%
CYFROWY POLSAT S.A.;CPS PW Equity;;0.5%;0.9%;0.6%;0.1%;0.7%;;;0.7%;1.2%;0.9%;0.2%;5.9%
CREEPY JAR S.A.;CRJ PW Equity;0.6%;0.1%;;0.2%;;;;0.4%;;;;0.8%;2.2%
SALESFORCE, INC.;CRM US Equity;;;0.2%;;0.8%;;;;;;0.6%;;1.6%
CrowdStrike Holdings Inc.;CRWD US Equity;;;;;;;0.7%;;;;;;0.7%
CSX CORP;CSX US Equity;;;;;0.5%;;;;;;;;0.5%
CTP N.V.;CTPNV NA Equity;;;;;;;;;;0.4%;;0.5%;0.9%
CAPTOR THERAPEUTICS S.A.;CTX PW Equity;0.8%;;;0.1%;0.0%;0.7%;;;;;;;1.5%
CHEVRON CORP;CVX US Equity;;;;;0.3%;;;;;;;;0.3%
DataWalk SA;DAT PW Equity;;;;;0.0%;0.3%;1.1%;;;;;;1.4%
DEERE & COMPANY;DE US Equity;;;;;0.5%;;;;;;;;0.5%
DEKPOL S.A.;DEK PW Equity;;0.1%;;;;;;;;;;;0.1%
DELKO S.A.;DEL PW Equity;;0.0%;;;;;;;;;;;0.0%
VINCI SA;DG FP Equity;;;;;0.4%;;;;;;;;0.4%
Deutsche Post AG;DHL GR Equity;;;;;;;0.0%;;;;;;0.0%
Danaher Corporation;DHR US Equity;;;0.4%;;;;;;;0.4%;;;0.8%
Diagnostyka S.A.;DIA PW Equity;;;;;;;0.9%;;;;;;0.9%
The Walt Disney Company;DIS US Equity;;;0.4%;;;;;;;;0.6%;;1.0%
DINO POLSKA S.A.;DNP PW Equity;8.0%;5.5%;5.1%;5.1%;2.4%;5.9%;2.9%;5.3%;3.6%;0.3%;4.1%;5.1%;53.4%
DO & CO AG;DOC AV Equity;;;;0.3%;;;;;;;;;0.3%
DOM DEVELOPMENT S.A.;DOM PW Equity;;0.1%;;1.0%;1.2%;0.4%;;1.0%;0.0%;0.2%;0.5%;0.8%;5.4%
Darden Restaurants Inc.;DRI US Equity;;;;;;;;;;1.0%;;;1.0%
DEVELIA S.A.;DVL PW Equity;;0.6%;;0.2%;;0.5%;;1.1%;0.4%;;0.6%;;3.4%
ESOTIQ & HENDERSON S.A.;EAH PW Equity;;0.2%;;;;;;;;;;;0.2%
AMREST HOLDINGS SE;EAT PW Equity;;0.5%;0.7%;1.4%;;0.8%;;1.0%;0.5%;0.7%;;;5.6%
ERSTE GROUP BANK AG;EBS AV Equity;;;;0.3%;;;0.3%;;;;;;0.6%
ECHO INVESTMENT S.A.;ECH PW Equity;;0.1%;0.4%;;;0.2%;;0.5%;0.3%;0.6%;;0.6%;2.7%
ELF BEAUTY INC;ELF US Equity;;;;;0.4%;;;;;;;;0.4%
ENEA S.A.;ENA PW Equity;;0.2%;;1.2%;0.7%;0.6%;;;0.7%;0.7%;0.4%;;4.5%
ENPHASE ENERGY INC;ENPH US Equity;;;;;;;;;;;1.0%;;1.0%
Siemens Energy AG;ENR GR Equity;;;;;;;0.4%;;;;;;0.4%
ENTER AIR S.A.;ENT PW Equity;1.2%;0.3%;0.5%;;0.3%;;;;;;0.6%;;2.9%
EOG RESOURCES INC;EOG US Equity;;;;;0.8%;;;;;;;;0.8%
ERBUD S.A.;ERB PW Equity;;0.3%;;;0.1%;0.1%;;0.2%;;;;;0.7%
EUROTEL S.A.;ETL PW Equity;;0.1%;;;;;;;0.1%;;;;0.2%
EUROCASH S.A.;EUR PW Equity;;0.3%;;;0.7%;0.6%;;1.1%;0.2%;0.1%;0.7%;;3.7%
K2 HOLDING SA;FAB PW Equity;;0.1%;;;;;;;;;;;0.1%
Freeport-McMoRan Inc.;FCX US Equity;;;;;1.1%;;;;;1.1%;;;2.2%
FedEx Corp;FDX US Equity;;;0.4%;;0.5%;;;;;;;;0.9%
FEERUM S.A.;FEE PW Equity;;0.1%;;;;;;;;;;;0.1%
FERRO S.A.;FRO PW Equity;;0.1%;0.6%;0.1%;0.8%;;;;0.1%;;0.7%;0.9%;3.3%
FABRYKI MEBLI FORTE S.A.;FTE PW Equity;;0.0%;;;0.1%;;;0.4%;;;;;0.5%
Fortinet Inc;FTNT US Equity;;;;;;;;;;0.8%;;;0.8%
General Electric Co.;GE US Equity;;;;;;;0.5%;;;;;;0.5%
GRENEVIA S.A.;GEA PW Equity;;0.5%;;0.6%;;;;;0.1%;;;;1.2%
GE Vernova Inc.;GEV US Equity;;;;;;;0.3%;;;;;;0.3%
GN STORE NORD A/S;GN DC Equity;;;;;;;;;;;0.7%;;0.7%
Alphabet Inc.;GOOGL US Equity;;;0.7%;;;;2.0%;;;2.0%;;;4.7%
GRUPA PRACUJ S.A.;GPP PW Equity;0.1%;0.0%;0.7%;0.0%;0.9%;;;;0.4%;0.0%;0.4%;1.7%;4.2%
GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;GPW PW Equity;;0.2%;;0.3%;0.1%;;;;0.3%;;;;0.9%
Grenergy Renovables S.A.;GRE SM Equity;;;;;;;0.9%;;;;;;0.9%
GRODNO S.A.;GRN PW Equity;;0.1%;;;;;;;;;;;0.1%
Goldman Sachs Group Inc;GS US Equity;;;0.7%;;;;;;;;;;0.7%
Globe Trade Centre S.A.;GTC PW Equity;;;;;;0.1%;;;0.0%;;;;0.1%
HOME DEPOT INC./THE;HD US Equity;;;;;0.3%;;;;;;;;0.3%
PRZEDSIEBIORSTWO HYDRAULIKI SI;HDR PW Equity;;;;;;;;;0.1%;;;;0.1%
HUUUGE INC.;HUG PW Equity;0.5%;0.3%;;0.7%;;0.4%;;0.2%;0.1%;1.0%;0.6%;0.4%;4.3%
Medinice S.A.;ICE PW Equity;0.1%;;;;;;;;;;;;0.1%
Infineon Technologies AG;IFX GR Equity;0.6%;;;;;;;;;;;;0.6%
INDUSTRIAL MILK COMPANY S.A.;IMC PW Equity;;0.0%;;;;;;;;;;;0.0%
IMS S.A.;IMS PW Equity;;0.4%;;;;;;;;;;;0.4%
ING BANK ŚLĄSKI S.A.;ING PW Equity;;2.6%;1.1%;1.9%;2.1%;2.1%;;2.0%;0.3%;0.0%;2.1%;1.0%;15.2%
ING GROEP NV;INGA NA Equity;;;;;0.4%;;0.2%;;;;;;0.6%
INTROL S.A.;INL PW Equity;;0.2%;;;;;;;;;;;0.2%
INPOST S.A.;INPST NA Equity;;2.1%;1.0%;0.9%;0.8%;;0.4%;1.4%;;2.2%;1.8%;1.7%;12.4%
Intel Corp.;INTC US Equity;;;;;;;0.0%;;;;;;0.0%
INGERSOLL-RAND INC;IR US Equity;;;;;0.8%;;;;;;;;0.8%
IZOBLOK S.A.;IZB PW Equity;;;;;;;;;;;0.2%;;0.2%
Jacobs Solutions Inc;J US Equity;;;;;;;;;;0.5%;;;0.5%
Johnson Controls International;JCI US Equity;;;;;;;;;;1.2%;;;1.2%
Jeronimo Martins SA;JMT PL Equity;;;0.6%;;0.5%;;;;;;;;1.0%
Johnson & Johnson;JNJ US Equity;;;0.6%;;;;;;;;;;0.6%
JPMORGAN CHASE & CO;JPM US Equity;;;;;0.9%;;;;;;;;0.9%
JASTRZĘBSKA SPÓŁKA WĘGLOWA S.A.;JSW PW Equity;;0.4%;;1.8%;1.0%;0.6%;;;0.3%;2.3%;0.6%;;6.8%
KGHM POLSKA MIEDŹ S.A.;KGH PW Equity;1.6%;3.1%;1.8%;2.3%;2.3%;3.2%;;2.8%;4.4%;2.4%;2.1%;2.4%;28.4%
Coca-Cola Co;KO US Equity;;;0.6%;;0.7%;;;;;;;;1.3%
KINO POLSKA TV S.A.;KPL PW Equity;;0.1%;;;;;;;;;;;0.1%
KRUK S.A.;KRU PW Equity;4.6%;2.9%;2.5%;2.7%;1.5%;2.4%;1.3%;3.7%;2.0%;1.9%;2.5%;3.7%;31.7%
GRUPA KĘTY S.A.;KTY PW Equity;;1.5%;1.4%;1.4%;1.6%;1.6%;;0.9%;1.7%;0.3%;0.8%;0.8%;12.1%
